train,station,dwell_s,lower_s,upper_s,status
T01,站4,20.0,20,60,Pass
T01,站5,20.0,20,60,Pass
T01,站6,20.0,20,60,Pass
T01,站8,20.0,20,60,Pass
T01,站9,20.0,20,60,Pass
T01,站10,20.0,20,60,Pass
T02,站1,20.0,20,60,Pass
T02,站2,20.0,20,60,Pass
T02,站3,20.0,20,60,Pass
T02,站4,20.0,20,60,Pass
T02,站5,20.0,20,60,Pass
T02,站6,20.0,20,60,Pass
T02,站8,20.0,20,60,Pass
T02,站9,20.0,20,60,Pass
T02,站10,20.0,20,60,Pass
T02,站11,20.0,20,60,Pass
T02,站12,20.0,20,60,Pass
T03,站4,20.0,20,60,Pass
T03,站5,20.0,20,60,Pass
T03,站6,20.0,20,60,Pass
T03,站8,20.0,20,60,Pass
T03,站9,20.0,20,60,Pass
T03,站10,20.0,20,60,Pass
T04,站1,20.0,20,60,Pass
T04,站2,20.0,20,60,Pass
T04,站3,20.0,20,60,Pass
T04,站4,20.0,20,60,Pass
T04,站5,20.0,20,60,Pass
T04,站6,20.0,20,60,Pass
T04,站8,20.0,20,60,Pass
